Sys Boot Status  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Host Power       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
IPMI Watchdog    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
SEL Fullness     | 0x0        | discrete   | 0x3080| na        | na        | na        | na        | na        | na
CPUs             | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
All CPUs         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
One of CPUs      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 1            | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
CPU 2            | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
CPU 3            | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
CPU 4            | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
CPU 5            | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 6            | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 7            | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 8            | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 1 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 2 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 3 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 4 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 5 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 6 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 7 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU 8 PECI       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
All DIMMs        | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
DIMMs            | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
One of DIMMs     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Backup Memory    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Lane Failover    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Memory Resized   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Non-Auth DIMMs   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
SMI Lane Failed  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
PCIs             | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
All PCI Error    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
One of PCIs      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
No I/O Resources | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Aux Log          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Firmware Error   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
GPT Status       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
No Boot Device   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
No Op ROM Space  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Progress         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Sec Rollback Err | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Secure Boot Err  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
TPM_TCM Init Err | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
TPM_TCM Lock     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Phy Presence Set | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
